uuid,year,country_code,country_name,keywords,title,abstract,download_url,metadata_url,latitude,longitude
d0f56ee0-88fd-11da-a88f-000d939bc5d8,1969,AF,Afghanistan,"Geology,Geomorphology",Geological map of Afghanistan,Geological map of Afghanistan,"https://storage.googleapis.com/fao-maps-catalog-data/uuid/d0f56ee0-88fd-11da-a88f-000d939bc5d8/resources/afghanistan-1194-geological_map_of_afghanistan-1-1,250,000.jpg",https://data.apps.fao.org/catalog/iso/d0f56ee0-88fd-11da-a88f-000d939bc5d8,,
ee43b8d0-88fd-11da-a88f-000d939bc5d8,1969,AO,Angola,Soil,Generalized soil map of Angola (according to soil units for the Soil Map of the World FAO/Unesco project),Fao-Unesco classification,"https://storage.googleapis.com/fao-maps-catalog-data/uuid/ee43b8d0-88fd-11da-a88f-000d939bc5d8/resources/angola-269-generalized_soil_map_of_angola-soils-1-3,000,000.jpg",https://data.apps.fao.org/catalog/iso/ee43b8d0-88fd-11da-a88f-000d939bc5d8,-5.544374207118654,12.483098849872176
ee591590-88fd-11da-a88f-000d939bc5d8,,AO,Angola,Soil,Versao simplificada dos conjuntos de solos de Angola,Simplified soil map of Angola,"https://storage.googleapis.com/fao-maps-catalog-data/uuid/ee591590-88fd-11da-a88f-000d939bc5d8/resources/angola-270-versao_simplificada_dos_conjuntos_de_solos_de_angola-soils-1-3,000,000.jpg",https://data.apps.fao.org/catalog/iso/ee591590-88fd-11da-a88f-000d939bc5d8,-5.697500395194364,12.465792486542059
ed549de0-88fd-11da-a88f-000d939bc5d8,1948,AR,Argentina,Soil,Bosquejo general de los materiales originarios de los suelos,Bosquejo general de los materiales originarios de los suelos (Geological Map),"https://storage.googleapis.com/fao-maps-catalog-data/uuid/ed549de0-88fd-11da-a88f-000d939bc5d8/resources/argentina-289-bosquejo_general_de_los_materiales-soils_n2_-1-10,000,000.jpg",https://data.apps.fao.org/catalog/iso/ed549de0-88fd-11da-a88f-000d939bc5d8,-49.47191016188017,-70.41388129646649
ed6ba850-88fd-11da-a88f-000d939bc5d8,,AR,Argentina,Soil,Carta de asociaciones de suelos -Delta del Rio Parana,Delta del Rio Parana (Soil Map),"https://storage.googleapis.com/fao-maps-catalog-data/uuid/ed6ba850-88fd-11da-a88f-000d939bc5d8/resources/argentina-292-carta_de_asociaciones_de_suelos-soiln6-1-800,000.jpg",https://data.apps.fao.org/catalog/iso/ed6ba850-88fd-11da-a88f-000d939bc5d8,-25.41532442696622,-66.34327612580898
61dc5452-42d7-49e4-9196-465d137977e0,1973,AR,Argentina,"Climate,Forestry,Groundwater,Land Suitability,Soil,Vegetation",Cuenca inferior del rio Bermejo (Land Use - Argentina),"Include:
Land use Map (Posibilidades de explotacion del agua subterranea, Aptitud de suelos, danos e impedimentos agricolas de la tierra)","https://storage.googleapis.com/fao-maps-catalog-data/uuid/61dc5452-42d7-49e4-9196-465d137977e0/resources/argentina-1061-cuenca_inferior_del_rio_bermejo_aptitud_de_suelos-land_use-1-1,000,000.jpg",https://data.apps.fao.org/catalog/iso/61dc5452-42d7-49e4-9196-465d137977e0,-28.254822539389217,-62.48058152643576
41e5c813-8f1f-44fa-a523-f82a90dad4b3,1973,AR,Argentina,"Climate,Forestry,Groundwater,Land Suitability,Soil,Vegetation",Cuenca inferior del rio Bermejo (Soil - Argentina),"Include:
Soil Map (Suelos)","https://storage.googleapis.com/fao-maps-catalog-data/uuid/41e5c813-8f1f-44fa-a523-f82a90dad4b3/resources/argentina-1061-cuenca_inferior_del_rio_bermejo_suelos-soils-1-1,000,000.jpg",https://data.apps.fao.org/catalog/iso/41e5c813-8f1f-44fa-a523-f82a90dad4b3,-37.67738405572489,-68.42588783763219
b6f58028-d26e-4dea-843a-3bdce5fd054f,1973,AR,Argentina,"Climate,Forestry,Groundwater,Land Suitability,Soil,Vegetation",Cuenca inferior del rio Bermejo (Vegetation - Argentina),"Include:
Vegetation Map (Vegetacion; formaciones forestales; zonas climaticas)","https://storage.googleapis.com/fao-maps-catalog-data/uuid/b6f58028-d26e-4dea-843a-3bdce5fd054f/resources/argentina-1061-cuenca_inferior_del_rio_bermejo-vegetation-1-1,000,000.jpg",https://data.apps.fao.org/catalog/iso/b6f58028-d26e-4dea-843a-3bdce5fd054f,-24.397245407972246,-62.92615259130428
1dd4f738-673d-4e9d-984b-a9d31391b8c0,,AR,Argentina,"Geological Classification,Geology",Grandes Unidades Geodafologicas De La Provincia de Buenos Aires,Grandes Unidades Geodafologicas De La Provincia de Buenos Aires,"https://storage.googleapis.com/fao-maps-catalog-data/uuid/1dd4f738-673d-4e9d-984b-a9d31391b8c0/resources/argentina-291-grandes_unidades_geoedafologicas_provincia_buenos_aires-soils-1-2,000,000.jpg",https://data.apps.fao.org/catalog/iso/1dd4f738-673d-4e9d-984b-a9d31391b8c0,-36.64216751919,-69.06706385391671
ee1c33a0-88fd-11da-a88f-000d939bc5d8,,BD,Bangladesh,Soil,General soil map (Bangladesh),General soil map (2 sheets; hand-coloured + bandw),"https://storage.googleapis.com/fao-maps-catalog-data/uuid/ee1c33a0-88fd-11da-a88f-000d939bc5d8/resources/bangladesh-408-general_soil_map-color-soils-1-1,000,000.jpg",https://data.apps.fao.org/catalog/iso/ee1c33a0-88fd-11da-a88f-000d939bc5d8,22.771816518121465,91.52894025502435
