"uuid"	"title"	"abstract"
"d0f56ee0-88fd-11da-a88f-000d939bc5d8"	"Geological map of Afghanistan"	"Geological map of Afghanistan"
"ee43b8d0-88fd-11da-a88f-000d939bc5d8"	"Generalized soil map of Angola (according to soil units for the Soil Map of the World FAO/Unesco project)"	"Fao-Unesco classification"
"ee591590-88fd-11da-a88f-000d939bc5d8"	"Versao simplificada dos conjuntos de solos de Angola"	"Simplified soil map of Angola"
"ed549de0-88fd-11da-a88f-000d939bc5d8"	"Bosquejo general de los materiales originarios de los suelos"	"Bosquejo general de los materiales originarios de los suelos (Geological Map)"
"ed6ba850-88fd-11da-a88f-000d939bc5d8"	"Carta de asociaciones de suelos -Delta del Rio Parana"	"Delta del Rio Parana (Soil Map)"
"61dc5452-42d7-49e4-9196-465d137977e0"	"Cuenca inferior del rio Bermejo (Land Use - Argentina)"	"Include:
Land use Map (Posibilidades de explotacion del agua subterranea, Aptitud de suelos, danos e impedimentos agricolas de la tierra)"
"41e5c813-8f1f-44fa-a523-f82a90dad4b3"	"Cuenca inferior del rio Bermejo (Soil - Argentina)"	"Include:
Soil Map (Suelos)"
"b6f58028-d26e-4dea-843a-3bdce5fd054f"	"Cuenca inferior del rio Bermejo (Vegetation - Argentina)"	"Include:
Vegetation Map (Vegetacion; formaciones forestales; zonas climaticas)"
"1dd4f738-673d-4e9d-984b-a9d31391b8c0"	"Grandes Unidades Geodafologicas De La Provincia de Buenos Aires"	"Grandes Unidades Geodafologicas De La Provincia de Buenos Aires"
"ee1c33a0-88fd-11da-a88f-000d939bc5d8"	"General soil map (Bangladesh)"	"General soil map (2 sheets; hand-coloured + b&w)"
"ee1c33a0-88fd-11da-a88f-000d939bc5d8"	"General soil map (Bangladesh)"	"General soil map (2 sheets; hand-coloured + b&w)"
"2cf9458d-8ae0-464b-a95a-42819f0b0d64"	"Land and water resources sector study (Additional crop production possible from introduction of irrigated Irri rice - Bangladesh)"	"Includes:
Additional crop production possible from introduction of irrigated Irri rice (Map 4)"
"8df956a7-f797-4489-81c0-a21e4d4eaada"	"Land and water resources sector study (Areas best suited for concentrated extension effort for Irri rice varieties and Jute - Bangladesh)"	"Includes:
Areas best suited for concentrated extension effort for Irri rice varieties and Jute (Map 1)"
"f3db0efc-f938-45d7-94f3-74bdabf1c465"	"Land and water resources sector study (Flooding conditions and drainage potentials - Bangladesh)"	"Includes:
Flooding conditions and drainage potentials (Map 6)"
"8520b45d-fea0-46c1-b4d5-00ba7c34e742"	"Land and water resources sector study (Land development units - Bangladesh)"	"Includes:
Land development units (Map 7)"
"0fc33b8e-b806-426e-be66-21b92bf5f81a"	"Land and water resources sector study (Land suitability for broadcast Irri Aus - Bangladesh)"	"Includes:
Land suitability for broadcast Irri Aus (Map 2)"
"dee169e3-54b4-4ce7-aafb-78b77404a482"	"Land and water resources sector study (Proportion of land suitable for cultivation of oilseeds - Bangladesh)"	"Includes:
Proportion of land suitable for cultivation of oilseeds (mainly groundnuts, mustard and rapeseed (Map 5)"
"812aef49-7170-420e-bacf-93960cfd809e"	"Land and water resources sector study (Proportion of land suitable for transplanted Irri aman - Bangladesh)"	"Includes:
Proportion of land suitable for transplanted Irri aman (Map 3)"
"90d80d05-8f1d-4883-816d-023a5f16e578"	"Land Resources Inventory (District map 10 - Bangladesh)"	"Include:
Jaydebpur; Narsinghdi; Manikganj; Dhaka; Narayanganj; Munshiganj (District map 10); Land use Map"
"153b3620-625e-4455-ac86-a8ce6f2b6994"	"Land Resources Inventory (District map 11 - Bangladesh)"	"Include:
Brahmanbaria; Comilla; Chandpur (District map 11); Land use Map"
"e15308bf-03f3-4815-b780-c34a4c611820"	"Land Resources Inventory (District map 12 - Bangladesh)"	"Include:-
Satkhira; Khulna; Bagerhat (District map 12); Land use Map"
"599e800c-2618-4568-bfb7-8cefb1c11c96"	"Land Resources Inventory (District map 13 - Bangladesh)"	"Include:
Barisal;  Jhalakati; Pirojpur; Patuakhali; Bhola; Barguna (District map 13); Land use Map"
"4688c215-2ae2-428c-a201-66f87be4ecc6"	"Land Resources Inventory (District map 14 - Bangladesh)"	"Include:
Lakshmipur; Feni; Noakhali (District map 14); Land use Map"
"382e043d-bfb3-4f53-b9d5-1a5ba15f3ddc"	"Land Resources Inventory (District map 15 - Bangladesh)"	"Include:
Khagrachhari; Rangamati; Chittagong (District map 15); Land use Map"
"55969d0e-724b-40f7-8246-b4bcbc53fbc0"	"Land Resources Inventory (District map 16 - Bangladesh)"	"Include:
Rangamati; Chittagong; Bandarban (District map 16); Land use Map"
"2d84f8a1-d701-47b8-80a4-d0cbc511a3ef"	"Land Resources Inventory (District map 17 - Bangladesh)"	"Include:
Cox's Bazar; Bandarban (District map 17); Land use Map"
"31498791-37cd-48fb-aa0d-bfb744f19eaf"	"Land Resources Inventory (District map 2 - Bangladesh)"	"Include:
Nilphamari; Lalmanirhat;  Rangpur; Gaibandha; Kurigram (District map 2) - (Land use Map)"
"e5f11a45-6e95-48ab-a908-91e64d4f9767"	"Land Resources Inventory (District map 3 - Bangladesh)"	"Include:
Naogaon; Nawabganj; Nator; Rajshahi (District map 3); Land use Map"
"05e0908a-9da4-49c9-89fd-10464d1633e9"	"Land Resources Inventory (District map 4 - Bangladesh)"	"Include:
Jaipurhat; Bogra; Sirajganj; Pabna (District map 4); Land use Map"
"b1f138b0-8a0f-4c44-85fb-305ccde7f513"	"Land Resources Inventory (District map 5 - Bangladesh)"	"Include:
Sherpur; Jamalpur; Tangail (District map 5); Land use Map"
"eeaa0e64-6194-4fad-84f7-d4e0142275af"	"Land Resources Inventory (District map 6 - Bangladesh)"	"Include:
Netrakona; Mymensingh; Kishoreganj (District Map 6); Land use Map"
"8fafda98-7ee4-4fde-bdea-ba1cfbeb4c0b"	"Land Resources Inventory (District map 7 - Bangladesh)"	"Include:
Sunamganj; Sylhet; Habiganj; Moulvi Bazar (District map 7); Land use Map"
"aa2d387b-e46f-4d6e-aa13-f3109970b4bf"	"Land Resources Inventory (District map 8 - Bangladesh)"	"Include:
Kushtia; Meherpur; Chuadanga; Jhenaidah; Magura; Narail; Jessore (District map 8); Land use Map"
"6c292ade-266f-4251-b023-13f8d5b57512"	"Land Resources Inventory (District map 9 - Bangladesh)"	"Include:
Goalanda; Faridpur; Madaripur; Sariatpur; Gopalganj (District map 9); Land use Map"
"e45b40e0-88fd-11da-a88f-000d939bc5d8"	"Land use associations (Bangladesh)"	"Land use associations"
"f64436e0-88fd-11da-a88f-000d939bc5d8"	"Carte des associations des sols du Burkina Faso"	"Carte des associations des sols du Burkina Faso"
"ef1c1770-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: Bereba (Burkina Faso)"	"Carte pédologique: Bereba"
